Utility Number,Utility Name,State,country,Division_type,Division_id
40293,"Northwestern Rural E C A, Inc - (PA)",PA,US,NERC_REGION,RFC
40299,Sussex Rural Electric Coop Inc,NJ,US,NERC_REGION,RFC
40300,Nebraska Electric G&T Coop Inc,NE,US,NERC_REGION,MRO
40301,Central Montana E Pwr Coop Inc,MT,US,NERC_REGION,WECC
40303,Monroe County Elec Power Assn,MS,US,NERC_REGION,SERC
40304,Minnesota Valley Coop L&P Assn,MN,US,NERC_REGION,MRO
40307,"Prairie Power, Inc",IL,US,NERC_REGION,SERC
40355,Maricopa County M W C Dist #1,AZ,US,NERC_REGION,WECC
40357,Electrical Dist No6 Pinal County,AZ,US,NERC_REGION,WECC
40364,City of Courtland,AL,US,NERC_REGION,SERC
40367,Village of Ladd - (IL),IL,US,NERC_REGION,RFC
40369,City of Oxford - (GA),GA,US,NERC_REGION,SERC
40382,City of Rockport - (MO),MO,US,NERC_REGION,SERC
40390,City of Buffalo - (IA),IA,US,NERC_REGION,MRO
40433,City of Enterprise - (UT),UT,US,NERC_REGION,WECC
40435,City of White - (SD),SD,US,NERC_REGION,MRO
40437,Emerald People's Utility Dist,OR,US,NERC_REGION,WECC
40438,Columbia River Peoples Ut Dist,OR,US,NERC_REGION,WECC
40440,City of Stanton - (ND),ND,US,NERC_REGION,MRO
40456,PUD No 1 of Whatcom County,WA,US,NERC_REGION,WECC
40548,Unalakleet Valley Elec Coop,AK,US,NERC_REGION,AK
40575,Utah Associated Mun Power Sys,UT,US,NERC_REGION,WECC
40576,Intermountain Power Agency,CA,US,NERC_REGION,WECC
40577,"American Mun Power-Ohio, Inc",OH,US,NERC_REGION,RFC
40580,Southern Minnesota Mun P Agny,MN,US,NERC_REGION,MRO
40581,Northern Municipal Power Agency,MN,US,NERC_REGION,MRO
40582,Michigan Public Power Agency,MI,US,NERC_REGION,RF
40603,Wyoming Municipal Power Agency,WY,US,NERC_REGION,WECC
40604,Heartland Consumers Power Dist,SD,US,NERC_REGION,MRO
40613,Northern California Power Agny,CA,US,NERC_REGION,WECC
40614,Alabama Municipal Elec Authority,AL,US,NERC_REGION,SERC
44388,New England Elec Transm'n Corp,MA,US,NERC_REGION,NPCC
49730,American PowerNet,PA,US,NERC_REGION,
49746,The Energy Coop,PA,US,NERC_REGION,RFC
49803,Alaska Electric & Energy Coop,AK,US,NERC_REGION,AK
49818,"Alliance Power Company, LLC.",TX,US,NERC_REGION,
49824,Calpine Power Management LLC,TX,US,NERC_REGION,TRE
49826,Mohegan Tribal Utility Authority,CT,US,NERC_REGION,NPCC
49848,Massachusetts Bay Trans Authority,MA,US,NERC_REGION,NPCC
